dt,comptime,Phe_Bid,Phe_Ask,Phe_chng,Phe_bid_chng,Phe_ask_chng,phe_sig,Phe_diff,coin_price
01/10/2023 22:12:18,1673385138,33159.65347000001,51003.96301,0.0,,,,,
01/10/2023 22:12:29,1673385149,34204.902050000004,48598.637530000015,0.031,,,,,
01/10/2023 22:12:35,1673385155,32891.18818,48598.460210000005,-0.04,,,,,
01/10/2023 22:16:15,1673385375,34935.02929,47329.94772999999,,0.059,-0.027,,,
01/10/2023 22:16:30,1673385390,36028.765159999995,47320.82588,,0.03,-0.0,,,
01/10/2023 22:37:10,1673386630,36767.60229000001,56764.23899000001,,0.02,0.166,,,
01/10/2023 22:37:40,1673386660,29996.87099000001,56611.70746000003,,-0.226,-0.003,,,
01/10/2023 22:38:09,1673386689,52824.09620000002,49679.78650000002,,0.432,-0.14,,,
01/10/2023 22:38:37,1673386717,48490.11497,35845.423090000004,,-0.089,-0.386,,,
01/10/2023 22:39:06,1673386746,38514.357670000005,30944.58918000001,,-0.259,-0.158,,,
01/10/2023 22:39:34,1673386774,44351.09389000001,27703.94384000001,,0.132,-0.117,,,
01/10/2023 22:40:02,1673386802,50009.92267000001,38984.3674,,0.113,0.289,,,
01/10/2023 22:40:31,1673386831,47915.311850000006,36150.5573,,-0.044,-0.078,,,
01/10/2023 22:40:59,1673386859,54379.80336,35767.4394,,0.119,-0.011,,,
01/10/2023 22:41:28,1673386888,50214.70816,38589.54144999999,,-0.083,0.073,,,
01/10/2023 22:41:56,1673386916,54623.40642,24982.467910000003,,0.081,-0.545,,,
01/10/2023 22:42:25,1673386945,54148.00928000001,27234.27920000001,,-0.009,0.083,,,
01/10/2023 22:42:54,1673386974,36096.00526000001,28211.87166000001,,-0.5,0.035,,,
01/10/2023 22:43:22,1673387002,30606.29824000001,39235.76442,,-0.179,0.281,,,
01/10/2023 22:43:51,1673387031,55251.09839,39303.91488,,0.446,0.002,,,
01/10/2023 22:44:19,1673387059,38090.56363000001,41539.23973000002,,-0.451,0.054,,,
01/10/2023 22:44:47,1673387087,50694.10935000002,43847.345350000025,,0.249,0.053,,,
01/10/2023 22:45:16,1673387116,49356.048500000026,44632.71898000001,,-0.027,0.018,,,
01/10/2023 22:45:44,1673387144,53670.95386000001,47616.113540000006,,0.08,0.063,,,
01/10/2023 22:46:13,1673387173,44153.42677000002,54987.64150000003,,-0.216,0.134,,,
01/10/2023 22:46:41,1673387201,26503.957950000007,53501.796400000014,,-0.666,-0.028,,,
01/10/2023 22:47:09,1673387229,50920.97556000001,46466.80490000001,,0.48,-0.151,,,
01/10/2023 22:47:38,1673387258,52220.33632000002,49313.097020000016,,0.025,0.058,,,
01/10/2023 22:48:06,1673387286,49409.98617,53661.57213000003,,-0.057,0.081,,,
01/10/2023 22:48:35,1673387315,49316.01428,50727.52241000002,,-0.002,-0.058,,,
01/10/2023 22:49:03,1673387343,35191.29146000001,49929.29018000002,,-0.401,-0.016,,,
01/10/2023 22:49:31,1673387371,28386.971290000016,53747.880550000016,,-0.24,0.071,,,
01/10/2023 22:50:01,1673387401,28447.831880000005,55051.42180000001,,0.002,0.024,,,
01/10/2023 22:50:29,1673387429,47574.85280000001,53406.38000000003,,0.402,-0.031,,,
01/10/2023 22:50:58,1673387458,36482.314180000016,54544.06833000001,,-0.304,0.021,,,
01/10/2023 22:51:26,1673387486,37408.76442000002,53629.87883,,0.025,-0.017,,,
01/10/2023 22:51:55,1673387515,27059.23230000001,52737.68567000001,,-0.382,-0.017,,,
01/10/2023 22:52:23,1673387543,39031.00818000002,43528.39319,,0.307,-0.212,,,
01/10/2023 22:52:52,1673387572,39250.89496000003,38136.16049,,0.006,-0.141,,,
01/10/2023 22:53:20,1673387600,43550.79157000002,35441.041880000004,,0.099,-0.076,,,
01/10/2023 22:53:48,1673387628,36019.05221000001,35902.81738000001,,-0.209,0.013,,,
01/10/2023 22:54:17,1673387657,38547.59396000001,36302.08529000001,,0.066,0.011,,,
01/10/2023 22:54:45,1673387685,36262.90671000002,50466.87939999999,,-0.063,0.281,,,
01/10/2023 22:55:14,1673387714,35649.50199000002,35240.90025000001,,-0.017,-0.432,,,
